price_t0,price_t1,price_t2,price_t3,price_t4,price_t5,price_t6,price_t7,price_t8,price_t9,crossings_05,price_early,price_mid,price_late,duration_minutes,volume,coin,label
0.53,0.775,0.715,0.795,0.8,0.705,0.805,0.75,0.445,0.02,3,0.665,0.73,0.42,240,23179.191042000017,0,0
0.525,0.585,0.67,0.87,0.845,0.925,0.965,0.9885,0.98,0.9995,2,0.435,0.925,0.9055,240,15184.217099000007,0,1
0.505,0.7,0.835,0.895,0.955,0.975,0.961,0.982,0.9955,0.9995,2,0.555,0.94,0.999,240,21119.300260000004,0,1
0.495,0.355,0.495,0.325,0.115,0.115,0.165,0.205,0.065,0.0005,6,0.48,0.155,0.0125,240,30317.465844999977,0,0
0.525,0.355,0.355,0.355,0.495,0.65,0.475,0.33,0.135,0.825,10,0.43,0.595,0.375,240,14542.477575000003,0,1
0.53,0.295,0.43,0.28,0.305,0.2,0.105,0.365,0.665,0.9995,4,0.505,0.23,0.96,240,28600.27732600007,0,1
0.51,0.36,0.455,0.205,0.155,0.095,0.095,0.12,0.065,0.0005,7,0.5,0.15,0.01,240,20390.321335,0,0
0.54,0.59,0.51,0.28,0.09,0.075,0.07,0.035,0.097,0.0005,5,0.435,0.09,0.006,240,54131.199274999984,0,0
0.52,0.535,0.455,0.215,0.42,0.355,0.385,0.5,0.235,0.0005,15,0.485,0.395,0.05,240,18780.35837299999,0,0
0.535,0.345,0.4,0.455,0.485,0.61,0.685,0.865,0.95,0.9995,8,0.54,0.64,0.9925,240,12831.104986000004,0,1
0.49,0.505,0.465,0.34,0.125,0.095,0.1,0.025,0.006,0.0005,8,0.405,0.11,0.0005,240,82653.847814,0,0
0.495,0.335,0.435,0.31,0.335,0.635,0.495,0.22,0.015,0.0005,6,0.365,0.585,0.001,240,38742.49983900002,0,0
0.525,0.595,0.585,0.61,0.47,0.4,0.96,0.9915,0.9945,0.9995,14,0.575,0.39,0.999,240,28631.776431000006,0,1
0.56,0.545,0.685,0.725,0.82,0.815,0.875,0.82,0.535,0.935,18,0.465,0.82,0.405,240,16106.367228000003,0,1
0.535,0.455,0.655,0.485,0.455,0.53,0.425,0.175,0.09,0.0005,15,0.46,0.41,0.0065,240,10864.414486000003,0,0
0.455,0.52,0.485,0.45,0.45,0.685,0.88,0.975,0.965,0.9995,9,0.505,0.44,0.9915,240,36254.676831000004,0,1
0.5,0.37,0.475,0.58,0.745,0.835,0.775,0.62,0.715,0.055,7,0.405,0.805,0.915,240,20991.213922000017,0,0
0.515,0.595,0.835,0.84,0.88,0.875,0.92,0.975,0.945,0.9995,6,0.52,0.895,0.9975,240,23960.399595,0,1
0.53,0.675,0.74,0.765,0.85,0.89,0.905,0.945,0.981,0.9995,0,0.675,0.865,0.997,240,21845.23749600006,0,1
0.485,0.285,0.245,0.225,0.12,0.03,0.0185,0.0085,0.0005,0.0005,0,0.385,0.05,0.0005,240,35195.229316,0,0
0.505,0.545,0.51,0.695,0.76,0.735,0.88,0.98,0.995,0.9995,8,0.42,0.855,0.9985,240,35875.09801299999,0,1
0.515,0.54,0.57,0.44,0.355,0.665,0.615,0.895,0.875,0.95,10,0.6,0.655,0.915,240,17631.983282,0,1
0.495,0.39,0.49,0.405,0.345,0.835,0.865,0.905,0.988,0.9995,7,0.535,0.45,0.9975,240,21299.273087999998,0,1
0.495,0.395,0.395,0.69,0.715,0.905,0.985,0.986,0.9965,0.9995,1,0.435,0.885,0.9995,240,36145.102554,0,1
0.525,0.585,0.565,0.615,0.715,0.765,0.835,0.89,0.9865,0.9995,4,0.555,0.635,0.994,240,21010.476043000002,0,1
0.505,0.405,0.32,0.3,0.23,0.175,0.095,0.03,0.0065,0.0005,3,0.535,0.17,0.0015,240,26315.605030999996,0,0
0.505,0.59,0.735,0.57,0.71,0.46,0.285,0.1,0.0095,0.0005,7,0.52,0.475,0.0015,240,24594.254437000003,0,0
