price_t0,price_t1,price_t2,price_t3,price_t4,price_t5,price_t6,price_t7,price_t8,price_t9,crossings_05,price_early,price_mid,price_late,duration_minutes,volume,coin,label
0.495,0.495,0.495,0.495,0.495,0.495,0.495,0.5,0.505,0.49,2,0.495,0.495,0.505,60,62227.00801899996,0,1
0.505,0.505,0.505,0.505,0.505,0.48,0.48,0.485,0.465,0.455,1,0.505,0.505,0.47,60,47122.186346000024,0,1
0.5,0.505,0.505,0.505,0.5,0.5,0.5,0.475,0.475,0.465,3,0.505,0.5,0.47,60,31747.877731000004,0,1
0.505,0.505,0.505,0.505,0.505,0.495,0.495,0.495,0.495,0.46,5,0.505,0.495,0.485,60,28940.93276100002,0,1
0.5,0.505,0.505,0.505,0.485,0.485,0.47,0.47,0.465,0.445,1,0.505,0.485,0.465,60,47783.08487999997,0,0
0.505,0.505,0.505,0.505,0.505,0.505,0.495,0.495,0.495,0.475,5,0.505,0.505,0.495,60,47010.712432,0,1
0.5,0.495,0.495,0.495,0.495,0.445,0.445,0.465,0.465,0.49,1,0.495,0.445,0.465,60,34208.96882600001,0,1
0.505,0.51,0.51,0.51,0.51,0.51,0.535,0.535,0.525,0.545,0,0.51,0.51,0.53,60,27557.61855599997,0,1
0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.545,0.545,0.545,0,0.525,0.525,0.545,60,38793.02227899999,0,0
0.505,0.505,0.505,0.505,0.505,0.545,0.545,0.545,0.53,0.515,2,0.505,0.525,0.515,60,69361.18968799997,0,1
0.5,0.505,0.505,0.505,0.505,0.505,0.5,0.505,0.52,0.545,0,0.505,0.505,0.54,60,43057.57587200007,0,0
0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.51,0.535,0,0.505,0.505,0.535,60,24903.812564000014,0,0
0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.5,0.53,2,0.505,0.505,0.51,60,46312.86405100005,0,0
0.505,0.505,0.51,0.51,0.51,0.51,0.51,0.51,0.53,0.535,0,0.505,0.51,0.535,60,56475.175029999984,0,0
0.5,0.5,0.5,0.5,0.515,0.52,0.52,0.505,0.535,0.525,0,0.505,0.515,0.515,60,33956.84496399998,0,1
0.505,0.505,0.505,0.5,0.5,0.5,0.5,0.5,0.515,0.53,4,0.505,0.5,0.515,60,44424.29413499996,0,0
0.5,0.495,0.495,0.495,0.495,0.495,0.48,0.495,0.475,0.465,1,0.495,0.495,0.46,60,62021.067055999985,0,0
0.505,0.52,0.525,0.515,0.525,0.525,0.51,0.535,0.545,0.555,0,0.515,0.515,0.55,60,37450.38059799998,0,1
0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.515,0,0.505,0.505,0.505,60,55568.133803999975,0,0
