iter	Logloss
0	0.6792129883
1	0.6671665981
2	0.6584312285
3	0.6493207707
4	0.640894336
5	0.6338453562
6	0.6284852252
7	0.6239583052
8	0.619502712
9	0.615264003
10	0.6109710263
11	0.6079281186
12	0.6050787328
13	0.6022310017
14	0.6006966428
15	0.5989311925
16	0.5976527215
17	0.5956523672
18	0.5931872793
19	0.5912682935
20	0.5898360325
21	0.5881046013
22	0.5865651946
23	0.5850121719
24	0.5837601198
25	0.5830316053
26	0.5819618167
27	0.5809501649
28	0.5801493657
29	0.579318399
30	0.5786909586
31	0.5777497705
32	0.5773290544
33	0.5765052856
34	0.5758984164
35	0.575464317
36	0.5744118732
37	0.5734295171
38	0.5728696819
39	0.5724402112
40	0.5719255662
41	0.5714515192
42	0.5709488988
43	0.5706125568
44	0.5701258849
45	0.5698372094
46	0.5691342045
47	0.5685437679
48	0.5679071094
49	0.5670874552
50	0.5663215867
51	0.5656498378
52	0.5649947789
53	0.5646737074
54	0.5641244807
55	0.5638978155
56	0.5634246508
57	0.563153183
58	0.5627427061
59	0.561889265
60	0.5611985656
61	0.5606763039
62	0.5600403408
63	0.5596739547
64	0.5590138255
65	0.5584065805
66	0.5578707326
67	0.5574275357
68	0.5570046808
69	0.5567467582
70	0.5562003887
71	0.5555412465
72	0.554685336
73	0.5539332978
74	0.5536372184
75	0.5532993746
76	0.5529510228
77	0.5526486184
78	0.5517193655
79	0.5510566258
80	0.5499424979
81	0.5491832286
82	0.5484342284
83	0.547878985
84	0.5472317632
85	0.5469333917
86	0.5462214092
87	0.5456127246
88	0.5448107592
89	0.5439792727
90	0.5434116754
91	0.5432302634
92	0.5422725322
93	0.5413452358
94	0.5405460147
95	0.5402371365
96	0.5398696721
97	0.5397186485
98	0.5390067693
99	0.5385735807
